자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
제일 경정비,01,경상북도 울릉군 울릉읍 울릉순환로 612,경상북도 울릉군 울릉읍 사동리 253-4,37.4726675,130.8875008,2000-01-21,50,03,2022-08-09,,,,,054-791-6608,경상북도 울릉군 경제교통정책실,054-790-6144,2024-12-06
현대서비스 울릉 대형점,03,경상북도 울릉군 북면 울릉순환로 2386,경상북도 울릉군 북면 현포리 611-3,37.517473,130.816423,2019-07-19,86.4,03,2021-04-08,,,,,,경상북도 울릉군 경제교통정책실,054-790-6144,2024-12-06
울릉자동차정비공장,01,경상북도 울릉군 울릉읍 저동4길 33-12,경상북도 울릉군 울릉읍 저동리 169,37.504321,130.912663,1997-01-31,95,02,,2019-01-01,,,,054-791-4850,경상북도 울릉군 경제교통정책실,054-790-6144,2024-12-06
곰돌이 경정비,03,경상북도 울릉군 울릉읍 도동길 253-6,경상북도 울릉군 울릉읍 도동리 594-10,37.48421129,130.898338,2001-04-21,246,01,,,,,,054-791-3100,경상북도 울릉군 경제교통정책실,054-790-6144,2024-12-06
울릉서비스 기아오토큐,01,경상북도 울릉군 울릉읍 무릉길 205,경상북도 울릉군 울릉읍 사동리 70-20,37.481181,130.896915,2010-09-10,663,01,,,,,,054-791-0034,경상북도 울릉군 경제교통정책실,054-790-6144,2024-12-06
호마카정비,03,경상북도 울릉군 울릉읍 울릉순환로 76,경상북도 울릉군 울릉읍 저동리 38-2,37.501717,130.914815,2018-07-12,97.68,01,,,,,,054-791-7751,경상북도 울릉군 경제교통정책실,054-790-6144,2024-12-06
동화정비,03,경상북도 울릉군 서면 남양길 91,경상북도 울릉군 서면 남양리 592-1,37.47007766,130.839702,2019-03-14,180,01,,,,,,054-791-8904,경상북도 울릉군 경제교통정책실,054-790-6144,2024-12-06
울릉 현대 상용 서비스,01,경상북도 울릉군 울릉읍 사동2길 139,경상북도 울릉군 울릉읍 사동리 339-1,37.4814584639,130.8901978742,2020-11-06,399.62,01,,,,,,054-791-1113,경상북도 울릉군 경제교통정책실,054-790-6144,2024-12-06
